ArtefactTitle,ArtefactName, ArtefactOwnerName,CategoryName,SubCategoryName,ActivityName,Ratio, MilestoneStepName, CompletedByName, CompletionDate
Data Center - Floor Plan Drawing,Drawing, John Davis,Design and Engineering,Architectural Design,Architectural Design,1.0  ,Review,,2026-04-22
Data Center - Elevation Drawing,Drawing, John Davis,Design and Engineering,Architectural Design,Architectural Design,1.0  ,Review,,2026-04-10
Data Center - Elevation Drawing,Drawing, John Davis,Design and Engineering,Architectural Design,Architectural Design,1.0  ,Approved,,2025-04-21
Data Center - Building Section Drawing,Drawing, John Davis,Design and Engineering,Architectural Design,Architectural Design,1.0  ,,,
Data Center - Space Planning Report,Calculation, John Davis,Design and Engineering,Architectural Design,Architectural Design,1.0  ,,,
Main Structure - General Arrangement Drawing,Drawing, John Davis,Design and Engineering,Structural Design,Structural Design,1.0  ,,,
Main Structure - Foundation Drawing,Drawing, John Davis,Design and Engineering,Structural Design,Structural Design,1.0  ,,,
Raised Floor System - General Arrangement Drawing,Drawing, John Davis,Design and Engineering,Structural Design,Structural Design,1.0  ,,,
Main Structure - Structural Calculation,Calculation, John Davis,Design and Engineering,Structural Design,Structural Design,1.0  ,,,
Main Structure - Foundation Calculation,Calculation, John Davis,Design and Engineering,Structural Design,Structural Design,1.0  ,,,
Chilled Water Supply and Return - Layout Drawing,Drawing, John Davis,Design and Engineering,Cooling System Design,Cooling System Design,1.0  ,,,
Chilled Water Supply and Return - Isometric Drawing,Drawing, John Davis,Design and Engineering,Cooling System Design,Cooling System Design,1.0  ,,,
Chilled Water System - Hydraulic Calculation,Calculation, John Davis,Design and Engineering,Cooling System Design,Cooling System Design,1.0  ,,,
Condensate Drainage - Layout Drawing,Drawing, John Davis,Design and Engineering,Cooling System Design,Cooling System Design,1.0  ,,,
Fire Suppression System - Layout Drawing,Drawing, John Davis,Design and Engineering,Fire Suppression Design,Fire Suppression Design,1.0  ,,,
Fire Suppression System - Isometric Drawing,Drawing, John Davis,Design and Engineering,Fire Suppression Design,Fire Suppression Design,1.0  ,,,
Fire Suppression System - Hydraulic Calculation,Calculation, John Davis,Design and Engineering,Fire Suppression Design,Fire Suppression Design,1.0  ,,,
Power Distribution - Single Line Diagram,Drawing, John Davis,Design and Engineering,Electrical System Design,Electrical System Design,1.0  ,,,
UPS System - Layout Drawing,Drawing, John Davis,Design and Engineering,Electrical System Design,Electrical System Design,1.0  ,,,
Generator System - Layout Drawing,Drawing, John Davis,Design and Engineering,Electrical System Design,Electrical System Design,1.0  ,,,
Power Distribution Unit - Layout Drawing,Drawing, John Davis,Design and Engineering,Electrical System Design,Electrical System Design,1.0  ,,,
Lighting and Emergency Lighting - Layout Drawing,Drawing, John Davis,Design and Engineering,Electrical System Design,Electrical System Design,1.0  ,,,
Earthing and Lightning Protection Drawing,Drawing, John Davis,Design and Engineering,Electrical System Design,Electrical System Design,1.0  ,,,
Electrical Load Calculation,Calculation, John Davis,Design and Engineering,Electrical System Design,Electrical System Design,1.0  ,,,
Short Circuit Calculation,Calculation, John Davis,Design and Engineering,Electrical System Design,Electrical System Design,1.0  ,,,
UPS System - Datasheet,Datasheet, John Davis,Design and Engineering,Electrical System Design,Electrical System Design,1.0  ,,,
Generator - Datasheet,Datasheet, John Davis,Design and Engineering,Electrical System Design,Electrical System Design,1.0  ,,,
Cable Tray Layout Drawing,Drawing, John Davis,IT Infrastructure Installation,Cable Tray and Network Cabling,Cable Tray and Network Cabling,1.0 ,,,
Network Cabling Schedule,Datasheet, John Davis,IT Infrastructure Installation,Cable Tray and Network Cabling,Cable Tray and Network Cabling,1.0 ,,,
Rack and Cabinet Layout Drawing,Drawing, John Davis,IT Infrastructure Installation,Rack and Cabinet Installation,Rack and Cabinet Installation,1.0 ,,,
Server and Storage Equipment List,Datasheet, John Davis,IT Infrastructure Installation,Server and Storage Hardware Installation,Server and Storage Hardware Installation,1.0 ,,,
Network Switch - Datasheet,Datasheet, John Davis,IT Infrastructure Installation,Network Switch and Router Configuration,Network Switch and Router Configuration,1.0 ,,,
Network Topology Drawing,Drawing, John Davis,IT Infrastructure Installation,Network Switch and Router Configuration,Network Switch and Router Configuration,1.0 ,,,
Building Management System - Architecture Drawing,Drawing, John Davis,Design and Engineering,Cooling System Design,Cooling System Design,1.0  ,,,
Cooling System - Instrumentation Schematic,Drawing, John Davis,Design and Engineering,Cooling System Design,Cooling System Design,1.0  ,,,
Cooling System - Sensor Location Plan,Drawing, John Davis,Design and Engineering,Cooling System Design,Cooling System Design,1.0  ,,,
Fire Detection System - Layout Drawing,Drawing, John Davis,Design and Engineering,Fire Suppression Design,Fire Suppression Design,1.0  ,,,
DCIM - System Architecture Drawing,Drawing, John Davis,IT Infrastructure Installation,Network Switch and Router Configuration,Network Switch and Router Configuration,1.0 ,,,
Physical Security System - Layout Drawing,Drawing, John Davis,Testing and Commissioning,Network and Security Testing,Network and Security Testing,1.0 ,,,
Access Control System - Schematic,Drawing, John Davis,Testing and Commissioning,Network and Security Testing,Network and Security Testing,1.0 ,,,
CCTV System - Layout Drawing,Drawing, John Davis,Testing and Commissioning,Network and Security Testing,Network and Security Testing,1.0 ,,,
