ArtefactTitle,Categoryname,Subcategoryname,Activityname,Ratio
Bioreactors - General Arrangement Drawing,Bioreactors,Pressure Vessels,Mechanical design, 1.0
Bioreactors - Section and Elevation Drawing,Bioreactors,Pressure Vessels,Mechanical design, 1.0, 1.0
Post Treatment Filters - General Arrangement Drawing,Post-Treatment Filters,Pressure Vessels,Mechanical design, 1.0
Post Treatment Filters - Section and Elevation Drawing,Post-Treatment Filters,Pressure Vessels,Mechanical design, 1.0
Electron Donor Storage Tanks - General Arrangement Drawing,Tanks,Electron Donor Storage Tanks,Mechanical design, 1.0
Electron Donor Storage Tanks - Section and Elevation Drawing,Tanks,Electron Donor Storage Tanks,Mechanical design, 1.0
Phosphoric Acid Storage Tanks - General Arrangement Drawing,Tanks,Phosphoric Acid Storage Tanks,Mechanical design, 1.0
Phosphoric Acid Storage Tanks - Section and Elevation Drawing,Tanks,Phosphoric Acid Storage Tanks,Mechanical design, 1.0
Electron Donor Day Tanks - General Arrangement Drawing,Tanks,Electron Donor Day Tanks,Mechanical design, 1.0
Electron Donor Day Tanks - Section and Elevation Drawing,Tanks,Electron Donor Day Tanks,Mechanical design, 1.0
Residuals Holding Tanks-Basins - General Arrangement Drawing,Tanks,Residuals Holding Tanks-Basins,Mechanical design, 1.0
Residuals Holding Tanks-Basins - Section and Elevation Drawing,Tanks,Residuals Holding Tanks-Basins,Mechanical design, 1.0
Aeration Tanks - General Arrangement Drawing,Tanks,Aeration Tanks,Mechanical design, 1.0
Aeration Tanks - Section and Elevation Drawing,Tanks,Aeration Tanks,Mechanical design, 1.0
Ferric Chloride Storage Tanks - General Arrangement Drawing,Tanks,Ferric Chloride Storage Tanks,Mechanical design, 1.0
Ferric Chloride Storage Tanks - Section and Elevation Drawing,Tanks,Ferric Chloride Storage Tanks,Mechanical design, 1.0
Polymer Storage Tanks - General Arrangement Drawing,Tanks,Polymer Storage Tanks,Mechanical design, 1.0
Polymer Storage Tanks - Section and Elevation Drawing,Tanks,Polymer Storage Tanks,Mechanical design, 1.0
Coagulant Mix Tank - General Arrangement Drawing,Tanks,Coagulant Mix Tank,Mechanical design, 1.0
Coagulant Mix Tank - Section and Elevation Drawing,Tanks,Coagulant Mix Tank,Mechanical design, 1.0
Residuals Pump - General Arrangement Drawing,Pumps and Blowers,Residuals Pump,Mechanical design, 1.0
Residuals Pump - Section and Elevation Drawing,Pumps and Blowers,Residuals Pump,Mechanical design, 1.0
Residuals Pump - Datasheet,Pumps and Blowers,Residuals Pump,Mechanical design, 1.0
Electron Donor Metering - General Arrangement Drawing,Pumps and Blowers,Electron Donor Metering,Mechanical design, 1.0
Electron Donor Metering - Section and Elevation Drawing,Pumps and Blowers,Electron Donor Metering,Mechanical design, 1.0
Electron Donor Metering - Datasheet,Pumps and Blowers,Electron Donor Metering,Mechanical design, 1.0
Phosphoric Acid Metering - General Arrangement Drawing,Pumps and Blowers,Phosphoric Acid Metering,Mechanical design, 1.0
Phosphoric Acid Metering - Section and Elevation Drawing,Pumps and Blowers,Phosphoric Acid Metering,Mechanical design, 1.0
Phosphoric Acid Metering - Datasheet,Pumps and Blowers,Phosphoric Acid Metering,Mechanical design, 1.0
Blowers - General Arrangement Drawing,Pumps and Blowers,Phosphoric Acid Metering,Mechanical design, 1.0
Blowers - Section and Elevation Drawing,Pumps and Blowers,Phosphoric Acid Metering,Mechanical design, 1.0
Blowers - Datasheet,Pumps and Blowers,Phosphoric Acid Metering,Mechanical design, 1.0
Ferric Chloride Metering to Post- General Arrangement Drawing,Pumps and Blowers,Ferric Chloride Metering to Post-Treatment,Mechanical design, 1.0
Ferric Chloride Metering to Post- Section and Elevation Drawing,Pumps and Blowers,Ferric Chloride Metering to Post-Treatment,Mechanical design, 1.0
Ferric Chloride Metering to Post- Datasheet,Pumps and Blowers,Ferric Chloride Metering to Post-Treatment,Mechanical design, 1.0
Polymer Metering - General Arrangement Drawing,Pumps and Blowers,Polymer Metering,Mechanical design, 1.0
Polymer Metering - Section and Elevation Drawing,Pumps and Blowers,Polymer Metering,Mechanical design, 1.0
Polymer Metering - Datasheet,Pumps and Blowers,Polymer Metering,Mechanical design, 1.0
Residuals Mixers - General Arrangement Drawing,Mixers,Residuals Mixers,Mechanical design, 1.0
Residuals Mixers - Section and Elevation Drawing,Mixers,Residuals Mixers,Mechanical design, 1.0
Coagulant Mix Tank Mixers - General Arrangement Drawing,Mixers,Coagulant Mix Tank Mixers,Mechanical design, 1.0
Coagulant Mix Tank Mixers - Section and Elevation Drawing,Mixers,Coagulant Mix Tank Mixers,Mechanical design, 1.0
